Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Are,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2021,Season B,June,Nyamata,Beans,2.68,2.47,247.0,Flat,Hybrid (MAC 44),Partial,Organic (Compost),0.37,No,Cassava,Medium,Adequate,No,Yes,7.6,Clay Soil,7.04,3.07,76.8,21.4,254.9,23.5,32.7,71.6,8.0,12.9,120.7,6.96
2022,Season B,May,Nyarugenge,Rice,0.44,0.39,39.0,Flat,Local Variety,Yes,Organic (Compost),0.0,Yes,Beans,Low,Limited,Yes,Yes,24.1,Clay Soil,6.16,1.82,37.8,26.6,188.7,23.4,47.9,72.3,6.4,8.7,117.9,18.1
2024,Season B,April,Mareba,Maize,1.78,1.54,154.0,Flat,Local Variety,No,None,0.0,Yes,Maize,Medium,Adequate,Yes,No,24.0,Sandy Loam,7.21,3.13,63.2,11.7,231.9,24.6,136.9,78.8,7.0,9.6,103.9,11.03
2023,Season B,May,Nyarugenge,Beans,0.28,0.26,26.0,Valley,Local Variety,No,None,0.0,No,Cassava,Low,Sufficient,No,Yes,16.7,Clay Soil,6.24,2.32,42.6,24.1,181.1,21.7,103.7,66.9,6.6,10.7,117.6,6.66
2024,Season A,September,Kamabuye,Rice,0.32,0.27,27.0,Hillside,Improved (IR64 / NERICA),No,None,0.0,Yes,Beans,Low,Adequate,No,No,9.7,Clay Soil,7.04,2.25,38.0,15.1,207.7,23.9,88.4,75.7,7.1,11.0,113.7,35.05
2022,Season B,May,Rweru,Maize,0.33,0.25,25.0,Valley,Improved (WH507),Yes,Organic (Compost),0.0,No,Fallow,Low,Limited,No,No,17.1,Clay Soil,7.01,2.68,64.8,13.0,188.5,22.4,78.2,79.6,6.5,10.3,99.9,15.34
2024,Season B,June,Kamabuye,Rice,2.21,2.05,205.0,Hillside,Hybrid (Komboka),No,None,0.0,No,Maize,Medium,Limited,Yes,Yes,13.7,Clay Soil,7.16,2.37,37.1,19.2,202.7,23.7,28.2,63.5,8.0,10.0,113.9,14.17
2021,Season B,June,Shyara,Beans,1.14,0.77,77.0,Flat,Improved (RWR 2245),Yes,Organic (Compost),0.0,No,Rice,High,Sufficient,No,No,16.7,Sandy Loam,6.19,2.39,52.9,18.2,249.8,23.4,45.1,65.8,8.1,11.3,115.1,7.95
2022,Season B,March,Ntarama,Rice,1.04,0.85,85.0,Valley,Improved (IR64 / NERICA),Partial,Organic (Compost),0.66,No,Fallow,High,Sufficient,No,Yes,14.4,Sandy Soil,7.23,2.77,62.6,6.8,250.1,25.0,77.9,73.6,7.0,11.2,111.4,26.3
2023,Season B,March,Shyara,Rice,0.55,0.52,52.0,Hillside,Improved (IR64 / NERICA),No,None,0.0,Yes,Fallow,Low,Sufficient,No,No,18.4,Sandy Loam,6.16,1.97,51.6,23.1,275.3,23.2,81.4,80.8,7.4,11.1,114.5,32.16
2023,Season B,February,Mareba,Beans,1.09,0.73,73.0,Valley,Improved (RWR 2245),Partial,Organic (Compost),0.55,No,Beans,Medium,Adequate,Yes,No,20.9,Sandy Loam,7.1,3.1,62.5,14.5,246.7,22.2,64.6,71.6,8.3,11.0,114.1,13.63
2021,Season B,May,Nyamata,Rice,0.81,0.59,59.0,Valley,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),1.51,Yes,Maize,Low,Adequate,No,Yes,9.0,Clay Soil,7.02,3.08,75.4,26.7,239.6,24.9,63.4,84.1,6.8,12.6,104.9,31.97
2021,Season A,December,Ntarama,Beans,2.23,2.06,206.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Cassava,Low,Sufficient,No,No,24.1,Sandy Soil,7.05,2.77,61.7,9.8,249.4,22.3,56.2,81.0,7.7,11.2,99.9,8.67
2020,Season B,May,Mareba,Rice,2.9,1.74,174.0,Valley,Local Variety,No,None,0.0,Partial,Maize,Medium,Sufficient,Yes,No,24.7,Sandy Loam,7.18,3.04,64.3,9.9,227.4,23.2,66.6,78.8,8.0,11.6,98.1,15.73
2020,Season A,January,Gashora,Maize,2.92,2.2,220.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,Yes,Yes,5.5,Loam,6.65,2.05,46.3,21.8,180.6,21.9,50.4,68.5,7.5,12.9,98.0,11.17
2024,Season B,May,Rweru,Maize,1.97,1.4,140.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),2.24,No,Beans,Medium,Sufficient,Yes,Yes,18.8,Clay Soil,6.88,2.54,62.6,8.0,189.0,23.4,74.0,79.6,6.3,10.7,111.8,21.56
2023,Season B,February,Mwogo,Maize,0.24,0.23,23.0,Hillside,Local Variety,No,None,0.0,Partial,Beans,Medium,Adequate,Yes,No,11.3,Sandy Soil,5.99,2.18,68.3,20.3,158.0,23.3,93.9,75.8,7.8,12.3,103.3,15.76
2021,Season B,May,Rweru,Rice,0.79,0.76,76.0,Hillside,Improved (IR64 / NERICA),Partial,Organic (Compost),0.46,No,Beans,Low,Adequate,Yes,Yes,20.2,Clay Soil,6.95,2.72,65.5,10.9,174.6,22.3,59.5,74.5,6.8,12.0,101.9,28.53
2023,Season B,May,Juru,Rice,1.83,1.4,140.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Beans,Medium,Adequate,No,No,14.8,Sandy Loam,6.84,2.66,48.0,23.7,178.2,21.5,83.5,81.4,7.5,11.7,103.8,28.17
2022,Season B,May,Nyamata,Maize,1.38,1.13,113.0,Hillside,Improved (WH507),No,None,0.0,No,Maize,Low,Adequate,Yes,No,9.2,Clay Soil,7.03,3.33,79.8,20.5,255.3,22.5,54.6,74.3,7.3,10.3,112.6,14.32
2024,Season A,October,Nyarugenge,Rice,0.18,0.13,13.0,Flat,Hybrid (Komboka),Yes,Organic (Compost),0.0,No,Fallow,Low,Adequate,No,No,9.8,Clay Soil,6.27,2.24,32.3,21.3,185.8,24.1,152.5,82.3,6.5,9.4,101.3,32.06
2023,Season A,October,Kamabuye,Beans,2.97,2.63,263.0,Flat,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),0.68,Yes,Maize,Medium,Sufficient,No,No,9.4,Clay Soil,7.14,2.27,37.6,19.0,213.1,22.4,122.0,80.6,6.1,8.8,98.7,11.7
2021,Season B,April,Mareba,Beans,0.2,0.16,16.0,Flat,Improved (RWR 2245),Partial,Organic (Compost),0.36,No,Maize,Low,Adequate,No,No,23.1,Sandy Loam,7.23,2.81,64.1,14.7,239.2,22.0,118.0,78.8,6.2,11.1,118.3,13.99
2021,Season B,June,Juru,Rice,0.77,0.53,53.0,Hillside,Local Variety,No,None,0.0,No,Rice,High,Limited,Yes,No,17.1,Sandy Loam,6.78,2.7,43.7,26.2,175.4,20.6,45.1,66.9,8.0,13.3,102.6,10.0
2021,Season B,April,Mwogo,Beans,1.55,1.51,151.0,Valley,Improved (RWR 2245),No,None,0.0,Partial,Beans,Low,Sufficient,Yes,Yes,21.6,Sandy Soil,5.89,2.06,63.5,22.1,156.7,22.6,128.3,83.7,6.4,11.2,93.9,12.45
2023,Season A,January,Ruhuha,Beans,0.93,0.9,90.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Beans,Low,Adequate,No,No,5.9,Sandy Loam,6.86,2.37,60.5,21.0,196.5,23.3,68.6,77.3,7.5,12.5,97.2,12.35
2021,Season A,November,Nyarugenge,Maize,1.84,1.25,125.0,Valley,Hybrid (H614D),No,None,0.0,No,Rice,High,Limited,No,No,11.7,Clay Soil,6.23,2.02,38.6,28.3,184.9,23.6,108.2,73.4,7.0,11.2,111.0,19.47
2020,Season B,March,Mayange,Maize,0.43,0.29,29.0,Flat,Improved (WH507),Yes,Inorganic (NPK),0.78,No,Beans,Medium,Limited,No,No,22.2,Sandy Loam,5.9,2.94,67.6,11.1,221.4,24.4,83.3,74.4,7.0,11.2,113.3,18.81
2021,Season B,May,Mareba,Maize,2.26,1.64,164.0,Flat,Local Variety,Partial,Organic (Compost),0.43,Yes,Beans,High,Sufficient,Yes,No,15.5,Sandy Loam,7.16,2.87,65.3,10.8,234.5,22.7,103.4,78.7,7.8,11.2,89.4,13.22
2024,Season A,October,Kamabuye,Maize,1.62,1.36,136.0,Flat,Improved (WH507),Yes,Inorganic (NPK),1.97,No,Beans,Low,Adequate,Yes,No,5.8,Clay Soil,7.13,2.36,37.3,18.3,207.4,23.5,107.2,80.6,6.5,11.5,91.3,25.0
2024,Season B,April,Ngeruka,Rice,3.0,2.65,265.0,Hillside,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),0.33,Partial,Beans,Medium,Adequate,Yes,No,9.3,Loam,7.06,2.6,73.6,19.3,198.4,23.9,115.4,85.0,6.4,9.2,109.1,31.17
2022,Season B,March,Mayange,Maize,2.89,2.02,202.0,Flat,Local Variety,No,None,0.0,Yes,Fallow,Low,Adequate,No,No,10.9,Sandy Loam,6.06,2.56,66.8,11.6,208.3,24.1,63.9,79.2,6.9,10.3,118.0,12.42
2020,Season B,June,Rilima,Beans,2.29,1.62,162.0,Hillside,Local Variety,No,None,0.0,Yes,Cassava,Low,Sufficient,Yes,No,12.0,Sandy Soil,6.04,1.88,45.2,13.7,200.6,23.7,35.3,68.9,7.5,11.9,107.9,5.53
2024,Season B,February,Shyara,Beans,0.13,0.11,11.0,Hillside,Hybrid (MAC 44),Partial,Inorganic (NPK),0.51,Partial,Rice,Medium,Sufficient,No,No,6.0,Sandy Loam,6.1,2.26,55.5,19.9,267.0,22.3,59.9,70.4,7.5,10.6,115.9,8.67
2021,Season B,May,Gashora,Rice,2.78,2.19,219.0,Flat,Hybrid (Komboka),No,None,0.0,Partial,Cassava,Low,Adequate,Yes,No,13.8,Loam,6.52,1.98,49.9,27.1,193.9,21.3,68.8,79.9,7.0,10.5,109.6,19.67
2023,Season A,December,Ntarama,Beans,1.27,0.78,78.0,Flat,Hybrid (MAC 44),Yes,Inorganic (NPK),1.21,Yes,Maize,Low,Sufficient,Yes,Yes,14.2,Sandy Soil,7.03,2.7,62.6,12.0,249.7,22.9,89.8,78.0,7.1,12.7,111.6,13.43
2022,Season A,January,Kamabuye,Maize,0.41,0.36,36.0,Valley,Improved (WH507),Yes,Mixed (Organic + Inorganic),1.85,No,Maize,Medium,Adequate,No,Yes,10.2,Clay Soil,7.21,2.22,40.9,20.0,211.4,21.5,84.3,78.6,8.4,10.2,93.3,19.34
2022,Season A,January,Nyarugenge,Beans,0.33,0.28,28.0,Valley,Improved (RWR 2245),Partial,Inorganic (NPK),0.15,No,Maize,Low,Sufficient,No,Yes,7.5,Clay Soil,6.29,2.35,38.6,21.5,182.4,21.3,52.1,75.9,8.7,12.0,119.4,13.59
2022,Season B,May,Musenyi,Maize,2.05,1.36,136.0,Valley,Improved (WH507),No,None,0.0,Partial,Beans,High,Adequate,Yes,Yes,9.7,Loam,7.05,2.32,38.0,7.5,267.1,24.1,101.7,76.3,5.9,9.5,105.7,14.4
2020,Season B,May,Nyamata,Rice,1.36,1.05,105.0,Flat,Hybrid (Komboka),No,None,0.0,Yes,Maize,Low,Adequate,Yes,Yes,18.6,Clay Soil,7.01,3.26,77.0,25.9,249.0,23.2,60.5,74.4,7.0,10.7,112.0,21.07
2022,Season A,October,Nyamata,Rice,1.48,1.14,114.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Rice,Low,Limited,Yes,No,19.9,Clay Soil,6.94,3.27,78.3,25.1,253.4,22.6,136.1,85.1,6.6,9.2,109.2,30.86
2021,Season A,January,Mareba,Beans,2.71,2.35,235.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),1.39,No,Rice,High,Sufficient,Yes,Yes,15.0,Sandy Loam,7.28,3.09,66.1,12.2,234.3,23.6,40.3,79.5,8.4,11.7,106.5,11.27
2023,Season B,April,Gashora,Rice,0.68,0.58,58.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,Yes,Fallow,High,Limited,No,No,22.7,Loam,6.75,2.18,44.3,28.7,177.8,24.7,74.5,75.1,6.7,12.0,119.4,26.7
2021,Season B,February,Musenyi,Rice,1.75,1.34,134.0,Valley,Hybrid (Komboka),No,None,0.0,Partial,Rice,Low,Adequate,Yes,No,13.8,Loam,7.15,2.47,37.4,11.1,254.7,21.5,80.8,76.7,8.9,10.6,121.9,20.76
2020,Season A,October,Musenyi,Beans,1.42,1.27,127.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,Partial,Rice,High,Limited,Yes,No,8.9,Loam,7.08,2.48,40.9,15.5,259.3,22.9,130.8,79.8,5.8,11.0,97.7,9.18
2022,Season B,April,Ngeruka,Maize,0.46,0.3,30.0,Valley,Local Variety,Partial,Inorganic (NPK),0.17,Partial,Rice,Low,Adequate,Yes,No,5.6,Loam,6.77,2.79,76.1,23.4,197.8,21.9,65.6,87.1,7.4,11.4,110.1,12.49
2020,Season A,September,Nyarugenge,Maize,1.22,0.86,86.0,Flat,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),1.98,No,Rice,Low,Sufficient,No,No,21.5,Clay Soil,6.1,2.1,46.5,23.4,201.3,23.3,90.3,79.1,7.6,11.1,112.2,32.59
2021,Season B,March,Kamabuye,Maize,2.57,1.55,155.0,Valley,Improved (WH507),Yes,Organic (Compost),0.0,Partial,Maize,Medium,Adequate,No,No,13.5,Clay Soil,7.08,2.54,37.2,19.1,201.4,23.7,121.6,80.7,6.9,10.7,127.1,18.7
2022,Season B,February,Shyara,Maize,0.17,0.11,11.0,Flat,Improved (WH507),No,None,0.0,Yes,Cassava,High,Limited,No,Yes,13.8,Sandy Loam,6.12,2.18,56.6,21.2,276.1,20.1,50.8,80.0,7.8,11.1,115.8,11.28
2020,Season B,April,Shyara,Rice,2.69,1.87,187.0,Valley,Hybrid (Komboka),Yes,Organic (Compost),0.0,No,Beans,High,Adequate,No,No,10.5,Sandy Loam,6.07,2.09,50.2,18.1,261.6,22.6,100.8,82.3,6.3,11.7,117.3,24.24
2021,Season B,March,Mayange,Rice,0.39,0.32,32.0,Valley,Hybrid (Komboka),Yes,Organic (Compost),0.0,Yes,Maize,Low,Limited,Yes,No,10.1,Sandy Loam,6.28,2.71,63.8,14.1,205.7,22.5,107.8,72.4,7.2,11.5,103.3,26.23
2021,Season B,May,Gashora,Maize,2.82,1.88,188.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Beans,Low,Adequate,Yes,No,15.6,Loam,6.48,2.0,47.8,21.9,179.7,23.3,63.5,75.8,7.4,10.5,105.0,15.51
2021,Season B,June,Mwogo,Beans,1.25,1.12,112.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),1.25,Yes,Cassava,High,Adequate,Yes,No,22.6,Sandy Soil,5.83,2.16,68.7,19.6,154.0,26.0,25.9,75.1,8.1,14.1,109.7,9.38
2021,Season A,December,Mayange,Maize,0.41,0.36,36.0,Hillside,Improved (WH507),Yes,Inorganic (NPK),0.42,Yes,Maize,Low,Sufficient,Yes,No,23.1,Sandy Loam,5.94,2.78,66.3,10.2,206.1,24.3,89.5,67.7,6.7,13.0,107.4,24.8
2021,Season A,September,Shyara,Beans,1.67,1.11,111.0,Hillside,Local Variety,Partial,Inorganic (NPK),0.38,No,Rice,Low,Adequate,No,No,11.5,Sandy Loam,6.22,2.35,57.5,20.1,274.0,24.8,93.3,70.5,7.3,12.3,114.5,7.4
2023,Season A,September,Ngeruka,Maize,2.5,1.76,176.0,Hillside,Improved (WH507),No,None,0.0,Yes,Maize,Medium,Adequate,No,No,13.0,Loam,7.04,2.78,76.4,19.8,193.2,26.8,73.2,79.5,7.9,11.8,116.9,15.94
2020,Season A,October,Rilima,Beans,2.77,2.12,212.0,Hillside,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Beans,Low,Adequate,Yes,No,15.2,Sandy Soil,6.15,1.93,43.2,21.0,200.5,26.5,144.3,74.0,6.7,9.6,115.1,8.7
2023,Season A,November,Mayange,Maize,2.17,2.12,212.0,Hillside,Local Variety,Yes,Inorganic (NPK),0.97,No,Cassava,High,Adequate,No,No,5.2,Sandy Loam,5.79,2.68,70.7,12.2,196.7,23.4,97.3,78.3,6.7,10.3,108.6,16.2
2024,Season B,May,Gashora,Rice,1.17,0.83,83.0,Flat,Improved (IR64 / NERICA),Partial,Inorganic (NPK),0.55,No,Rice,Low,Sufficient,Yes,No,7.6,Loam,6.43,2.06,51.7,25.6,194.0,23.7,61.5,81.8,7.2,11.4,102.2,29.66
2021,Season B,June,Mareba,Maize,2.0,1.63,163.0,Valley,Hybrid (H614D),No,None,0.0,Yes,Maize,Medium,Adequate,Yes,No,20.2,Sandy Loam,7.1,3.32,61.6,12.1,222.6,25.6,48.6,68.6,8.0,13.6,114.1,16.5
2024,Season B,April,Mayange,Rice,1.74,1.72,172.0,Flat,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),2.13,Yes,Maize,High,Adequate,No,Yes,5.2,Sandy Loam,5.92,2.65,68.6,10.6,197.7,23.6,148.9,77.3,6.4,11.2,92.4,29.63
2021,Season A,September,Nyamata,Rice,2.67,2.18,218.0,Flat,Hybrid (Komboka),Yes,Inorganic (NPK),2.04,No,Maize,Low,Sufficient,Yes,No,7.0,Clay Soil,6.99,3.17,77.6,26.2,261.7,22.6,97.4,74.9,8.1,11.7,100.4,29.3
2022,Season A,November,Mayange,Rice,1.16,1.02,102.0,Hillside,Hybrid (Komboka),No,None,0.0,No,Beans,High,Adequate,Yes,No,14.4,Sandy Loam,6.01,2.89,69.8,11.7,204.3,23.2,113.7,88.3,7.0,10.3,110.0,25.73
2024,Season B,April,Rilima,Beans,1.0,0.72,72.0,Hillside,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),0.46,No,Rice,High,Adequate,Yes,No,11.3,Sandy Soil,6.14,1.62,43.7,11.7,192.5,24.5,103.8,78.7,7.9,12.2,120.8,11.81
2021,Season B,May,Ngeruka,Maize,2.01,1.83,183.0,Flat,Improved (WH507),Yes,Inorganic (NPK),0.54,Partial,Maize,High,Limited,No,No,11.5,Loam,6.95,2.8,75.8,19.3,197.5,21.2,83.1,72.8,6.9,10.9,102.7,14.84
2024,Season B,May,Ruhuha,Maize,0.22,0.18,18.0,Valley,Local Variety,No,None,0.0,Yes,Fallow,High,Adequate,No,No,18.1,Sandy Loam,7.0,2.65,63.8,18.1,189.8,21.7,73.3,71.2,7.1,10.3,99.3,9.8
2022,Season A,October,Mayange,Rice,1.14,0.92,92.0,Flat,Local Variety,No,None,0.0,No,Cassava,Low,Limited,Yes,No,9.3,Sandy Loam,5.92,2.64,67.7,11.0,206.4,24.8,129.3,77.9,7.2,9.9,88.6,23.09
2023,Season A,January,Rilima,Maize,2.45,1.79,179.0,Flat,Local Variety,Yes,Inorganic (NPK),2.18,Yes,Fallow,High,Adequate,No,No,22.2,Sandy Soil,6.13,1.98,44.3,18.7,216.3,21.5,83.1,72.7,7.4,11.1,108.6,14.26
2022,Season B,May,Rilima,Beans,2.24,1.72,172.0,Flat,Improved (RWR 2245),Partial,Organic (Compost),0.25,Partial,Beans,High,Limited,Yes,Yes,6.9,Sandy Soil,6.24,1.65,42.6,11.9,221.7,22.5,71.7,71.7,6.8,10.6,91.8,9.9
2021,Season A,September,Ntarama,Rice,2.02,1.54,154.0,Flat,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),2.24,No,Beans,Low,Limited,Yes,Yes,11.1,Sandy Soil,6.94,3.09,60.6,13.2,245.5,22.9,66.3,72.2,8.4,12.0,118.9,22.88
2024,Season B,June,Shyara,Maize,1.74,1.27,127.0,Valley,Improved (WH507),No,None,0.0,Partial,Beans,Medium,Adequate,Yes,Yes,19.1,Sandy Loam,6.02,2.45,56.2,22.8,259.2,23.0,48.3,71.7,7.8,11.9,116.2,14.62
2023,Season B,May,Nyarugenge,Maize,1.41,1.11,111.0,Valley,Hybrid (H614D),No,None,0.0,Partial,Maize,Medium,Adequate,No,No,6.2,Clay Soil,6.18,1.96,41.8,21.2,200.6,24.7,86.4,81.0,6.1,8.5,91.4,21.07
2024,Season B,April,Ruhuha,Beans,2.04,1.91,191.0,Hillside,Hybrid (MAC 44),No,None,0.0,No,Maize,Medium,Adequate,Yes,No,22.3,Sandy Loam,7.01,2.47,61.7,17.2,179.3,23.5,132.7,86.1,7.0,11.9,97.1,8.26
2023,Season A,September,Shyara,Maize,1.39,1.25,125.0,Flat,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),0.67,Partial,Maize,Low,Sufficient,No,Yes,17.0,Sandy Loam,5.84,2.26,56.3,21.3,267.7,24.6,88.3,82.5,7.1,11.7,97.2,30.65
2021,Season B,March,Juru,Maize,2.48,1.53,153.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Maize,Medium,Adequate,No,No,17.5,Sandy Loam,7.1,2.51,47.9,23.6,166.3,21.8,116.5,74.3,8.4,11.5,115.3,14.42
2020,Season B,March,Rilima,Maize,1.88,1.27,127.0,Flat,Improved (WH507),Partial,Organic (Compost),0.51,No,Beans,Low,Adequate,No,No,22.8,Sandy Soil,6.05,1.92,47.1,15.6,204.1,22.3,112.7,77.3,7.2,11.5,109.5,21.51
2022,Season A,January,Rilima,Beans,2.75,1.7,170.0,Hillside,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),0.99,Partial,Maize,Low,Adequate,Yes,No,18.8,Sandy Soil,6.14,1.66,42.2,12.8,186.9,23.3,63.9,73.4,7.9,13.2,114.1,10.56
