Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Ha,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2020,Season B,March,Nyarugenge,Rice,0.29,0.25,25.0,Flat,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Beans,High,Sufficient,Yes,No,23.6,Clay Soil,6.03,2.24,40.8,23.3,196.7,24.2,73.7,76.6,7.3,12.4,118.8,26.58
2022,Season A,October,Ntarama,Rice,2.59,2.27,227.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),69.0,Yes,Beans,Low,Sufficient,Yes,Yes,22.0,Sandy Soil,7.14,2.73,63.8,10.8,243.6,25.3,144.1,83.5,6.5,8.8,109.8,46.19
2023,Season A,December,Nyamata,Maize,0.59,0.47,47.0,Hillside,Improved (WH507),Yes,Inorganic (NPK),238.0,No,Maize,Low,Adequate,Yes,Yes,23.1,Clay Soil,7.19,3.41,79.3,23.6,254.1,22.4,82.4,72.0,7.2,10.4,99.2,22.43
2021,Season A,December,Kamabuye,Rice,0.94,0.8,80.0,Valley,Hybrid (Komboka),No,None,0.0,No,Fallow,Medium,Adequate,No,Yes,22.5,Clay Soil,7.07,2.31,45.3,19.4,221.7,23.2,111.9,75.1,8.0,11.1,111.1,23.1
2023,Season A,September,Ngeruka,Rice,0.62,0.57,57.0,Valley,Local Variety,No,None,0.0,No,Rice,Low,Sufficient,No,Yes,10.8,Loam,7.09,2.6,72.8,21.0,188.1,23.7,54.1,70.9,8.3,11.4,102.5,16.68
2023,Season A,September,Mareba,Rice,2.74,1.9,190.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Yes,Maize,Low,Sufficient,Yes,No,18.4,Sandy Loam,7.05,3.18,63.4,10.9,225.5,23.3,99.5,78.3,8.0,11.6,119.6,33.43
2020,Season A,December,Nyarugenge,Rice,1.56,1.53,153.0,Valley,Local Variety,Partial,Organic (Compost),50.1,No,Rice,High,Adequate,No,No,13.1,Clay Soil,6.33,2.09,42.0,24.5,197.5,22.6,106.8,71.7,7.3,12.2,103.0,20.07
2021,Season A,September,Juru,Rice,2.37,2.34,234.0,Flat,Improved (IR64 / NERICA),Yes,Inorganic (NPK),161.5,No,Rice,Low,Limited,Yes,Yes,22.4,Sandy Loam,6.82,2.49,44.7,25.7,180.7,23.3,71.5,71.7,7.5,12.1,106.8,26.38
2022,Season B,May,Gashora,Beans,1.46,1.29,129.0,Hillside,Improved (RWR 2245),No,None,0.0,Yes,Fallow,Low,Adequate,Yes,No,25.0,Loam,6.49,2.17,50.6,23.0,196.9,21.7,59.5,81.2,6.6,10.6,100.9,13.42
2023,Season A,September,Mwogo,Rice,2.12,2.11,211.0,Valley,Improved (IR64 / NERICA),No,None,0.0,Yes,Rice,Low,Adequate,Yes,Yes,15.3,Sandy Soil,6.01,2.24,70.1,24.9,160.5,23.4,59.0,62.2,6.8,9.8,97.6,28.87
2020,Season B,February,Juru,Rice,1.85,1.63,163.0,Hillside,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),239.9,No,Fallow,Low,Adequate,Yes,No,14.9,Sandy Loam,7.02,2.53,49.8,20.8,165.2,22.7,43.9,73.0,7.9,11.2,96.9,30.45
2024,Season A,October,Rilima,Maize,2.07,1.43,143.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),79.2,No,Beans,High,Adequate,Yes,No,13.2,Sandy Soil,6.23,1.73,41.6,15.6,211.7,26.1,111.9,72.2,6.8,11.9,97.7,20.9
2022,Season A,November,Gashora,Maize,2.08,1.81,181.0,Hillside,Local Variety,No,None,0.0,Yes,Maize,Low,Adequate,Yes,No,13.6,Loam,6.61,2.2,48.4,23.7,184.5,23.1,141.1,89.6,6.8,10.2,102.8,13.95
2022,Season A,December,Kamabuye,Maize,0.81,0.63,63.0,Flat,Local Variety,No,None,0.0,Yes,Maize,High,Adequate,Yes,No,17.2,Clay Soil,7.11,2.11,42.5,20.5,203.4,23.7,57.8,74.9,6.2,11.4,99.2,9.08
2022,Season A,December,Musenyi,Maize,2.56,2.17,217.0,Flat,Improved (WH507),No,None,0.0,No,Fallow,Low,Limited,Yes,Yes,21.5,Loam,7.04,2.55,42.6,12.5,255.4,22.1,100.7,66.5,6.8,12.0,109.1,17.77
2023,Season B,May,Gashora,Rice,0.21,0.13,13.0,Valley,Hybrid (Komboka),Yes,Inorganic (NPK),42.9,No,Beans,High,Limited,Yes,Yes,7.1,Loam,6.31,1.9,47.4,24.7,184.1,23.5,81.7,68.8,7.4,10.9,97.9,22.29
2022,Season B,March,Gashora,Maize,1.41,1.11,111.0,Flat,Improved (WH507),Partial,Inorganic (NPK),51.4,No,Fallow,Low,Limited,No,Yes,14.3,Loam,6.52,2.25,48.8,22.8,203.8,21.4,87.2,74.4,6.9,11.7,122.7,17.52
2023,Season B,April,Ruhuha,Rice,0.64,0.52,52.0,Valley,Hybrid (Komboka),Yes,Inorganic (NPK),38.9,No,Maize,Low,Adequate,Yes,Yes,16.2,Sandy Loam,7.14,2.27,66.0,17.8,178.9,23.4,126.1,77.1,7.2,11.0,106.1,27.65
2020,Season A,December,Mareba,Maize,0.61,0.48,48.0,Valley,Hybrid (H614D),No,None,0.0,No,Beans,Low,Adequate,Yes,Yes,13.7,Sandy Loam,7.12,2.77,63.3,14.0,239.7,21.5,100.8,68.3,8.0,11.9,104.0,23.46
2024,Season A,October,Ruhuha,Rice,0.14,0.09,9.0,Valley,Hybrid (Komboka),No,None,0.0,Yes,Maize,Low,Sufficient,No,No,10.4,Sandy Loam,6.95,2.48,65.7,20.9,187.9,23.5,66.1,80.4,6.6,9.8,103.7,19.99
2020,Season A,November,Ruhuha,Beans,2.8,2.15,215.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Beans,High,Sufficient,Yes,Yes,7.0,Sandy Loam,6.92,2.45,67.0,14.6,188.2,23.4,106.5,72.5,6.9,9.4,109.6,7.12
2024,Season B,May,Rilima,Rice,2.71,2.31,231.0,Valley,Hybrid (Komboka),No,None,0.0,No,Maize,Low,Sufficient,Yes,Yes,15.2,Sandy Soil,6.08,1.92,37.6,16.4,212.9,26.0,98.2,64.3,7.5,10.6,114.7,24.34
2020,Season B,February,Mareba,Maize,1.78,1.33,133.0,Hillside,Improved (WH507),Yes,Organic (Compost),0.0,No,Beans,Medium,Sufficient,No,No,5.5,Sandy Loam,6.85,2.97,60.5,12.2,234.1,21.5,89.2,74.5,7.6,12.2,119.3,19.07
2020,Season A,October,Shyara,Maize,1.83,1.43,143.0,Flat,Improved (WH507),Yes,Inorganic (NPK),76.6,Partial,Rice,Low,Sufficient,Yes,Yes,11.0,Sandy Loam,6.07,2.18,58.1,21.6,244.7,24.8,85.8,69.7,7.0,11.6,87.1,22.74
2023,Season A,October,Musenyi,Maize,1.44,1.25,125.0,Flat,Local Variety,No,None,0.0,Yes,Cassava,Medium,Limited,No,No,7.2,Loam,7.13,2.59,41.2,11.4,252.2,23.2,96.6,78.8,6.8,9.9,112.8,12.88
2021,Season A,October,Rweru,Beans,1.07,1.03,103.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Maize,Low,Adequate,No,No,6.8,Clay Soil,7.01,2.46,63.3,13.4,192.1,23.0,91.4,80.1,7.4,7.8,116.6,14.03
2021,Season A,October,Musenyi,Beans,1.25,0.99,99.0,Valley,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),38.3,No,Beans,Low,Adequate,Yes,Yes,12.0,Loam,7.06,2.47,40.5,14.8,253.3,25.2,72.6,76.0,6.7,10.5,110.1,9.77
2021,Season B,April,Ngeruka,Beans,1.17,0.8,80.0,Valley,Improved (RWR 2245),Partial,Organic (Compost),71.7,No,Maize,Low,Adequate,No,Yes,24.4,Loam,7.2,2.71,71.7,22.3,187.8,25.0,108.4,72.6,6.7,9.9,101.9,12.18
2023,Season A,November,Nyamata,Beans,2.77,2.38,238.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,Partial,Beans,High,Limited,Yes,No,21.3,Clay Soil,7.15,3.34,77.6,25.6,252.8,21.5,122.3,74.2,6.9,10.0,89.8,8.84
2024,Season A,January,Ruhuha,Rice,0.73,0.51,51.0,Valley,Hybrid (Komboka),No,None,0.0,No,Fallow,Low,Adequate,Yes,No,24.4,Sandy Loam,7.11,2.79,62.5,17.7,177.0,21.3,60.7,66.6,8.5,10.7,96.4,18.38
2020,Season B,March,Kamabuye,Rice,0.88,0.83,83.0,Valley,Hybrid (Komboka),Yes,Inorganic (NPK),221.3,Partial,Rice,Low,Sufficient,No,No,6.4,Clay Soil,7.05,2.11,41.4,21.1,207.1,22.9,83.6,81.9,7.4,10.9,98.4,24.21
2024,Season B,March,Nyamata,Beans,1.07,0.7,70.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Fallow,Medium,Limited,No,No,24.0,Clay Soil,7.1,3.09,75.4,25.1,241.5,22.7,108.8,76.8,7.5,11.1,107.7,9.34
2021,Season B,March,Juru,Beans,1.29,1.17,117.0,Flat,Improved (RWR 2245),Yes,Inorganic (NPK),51.0,Yes,Maize,Medium,Sufficient,Yes,No,11.8,Sandy Loam,6.91,2.6,54.2,25.6,180.4,25.1,84.5,81.7,6.7,11.4,115.7,14.93
2024,Season B,May,Musenyi,Maize,1.37,1.32,132.0,Hillside,Improved (WH507),No,None,0.0,Partial,Beans,Medium,Adequate,No,No,16.3,Loam,7.28,2.47,37.9,14.0,268.0,23.6,70.5,88.1,7.6,8.4,88.9,16.7
2022,Season B,June,Gashora,Maize,0.71,0.54,54.0,Hillside,Improved (WH507),Yes,Inorganic (NPK),54.0,Partial,Beans,High,Sufficient,Yes,No,5.4,Loam,6.33,2.26,47.9,23.6,191.9,20.9,24.2,68.9,8.1,12.4,127.2,14.64
2021,Season B,May,Ngeruka,Maize,0.38,0.33,33.0,Flat,Improved (WH507),No,None,0.0,Yes,Maize,Low,Sufficient,No,No,21.8,Loam,7.06,2.55,78.0,18.2,192.2,21.4,88.1,79.5,7.6,10.4,103.7,16.28
2022,Season B,February,Kamabuye,Beans,1.25,1.16,116.0,Flat,Hybrid (MAC 44),No,None,0.0,Yes,Maize,High,Adequate,Yes,No,24.7,Clay Soil,7.13,2.18,40.9,20.2,208.9,21.7,83.5,77.8,8.1,12.1,121.7,7.91
2023,Season B,June,Musenyi,Beans,1.35,1.29,129.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Maize,Medium,Sufficient,No,Yes,12.4,Loam,6.95,2.09,35.7,12.3,260.1,22.7,27.6,67.4,7.7,11.3,127.7,6.16
2022,Season A,January,Kamabuye,Beans,2.43,2.14,214.0,Hillside,Hybrid (MAC 44),No,None,0.0,Yes,Cassava,Low,Sufficient,No,No,24.1,Clay Soil,7.09,2.18,38.3,19.2,195.0,21.8,40.0,75.9,7.3,10.2,120.6,8.91
2024,Season B,March,Musenyi,Maize,1.14,1.09,109.0,Flat,Local Variety,Partial,Inorganic (NPK),40.4,No,Maize,Low,Limited,Yes,Yes,15.5,Loam,7.2,2.43,40.9,13.5,253.3,20.2,115.7,83.4,8.4,11.2,119.5,10.62
2023,Season A,January,Mareba,Maize,0.2,0.13,13.0,Hillside,Hybrid (H614D),Partial,Inorganic (NPK),34.3,No,Beans,Medium,Limited,Yes,No,6.0,Sandy Loam,7.16,3.01,63.0,10.4,233.5,22.1,61.7,76.4,7.3,10.1,110.1,23.21
2024,Season B,June,Ntarama,Beans,2.64,2.47,247.0,Valley,Local Variety,Partial,Organic (Compost),67.0,No,Maize,High,Adequate,Yes,No,22.2,Sandy Soil,7.03,3.11,65.0,11.6,243.3,22.1,47.3,70.3,8.0,12.7,106.4,4.99
2023,Season B,February,Gashora,Maize,1.58,1.35,135.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),171.5,No,Fallow,Low,Adequate,No,No,9.8,Loam,6.53,2.24,50.4,25.0,189.6,22.5,74.1,76.2,7.5,9.9,110.1,22.01
2023,Season B,April,Juru,Maize,1.64,1.51,151.0,Hillside,Improved (WH507),No,None,0.0,Yes,Beans,High,Adequate,Yes,No,13.2,Sandy Loam,6.87,2.34,49.9,24.1,169.8,23.0,65.8,82.5,7.1,8.7,102.1,16.22
2023,Season A,September,Shyara,Rice,0.48,0.33,33.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),53.0,Yes,Rice,Low,Adequate,No,Yes,11.5,Sandy Loam,5.79,2.27,58.8,21.8,274.9,22.9,85.2,74.5,7.4,10.5,119.8,26.88
2022,Season B,February,Ngeruka,Rice,0.44,0.36,36.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,Yes,Yes,15.2,Loam,7.04,2.36,73.0,19.4,184.9,22.8,93.5,78.0,7.7,10.9,121.1,17.34
2021,Season A,October,Shyara,Maize,1.76,1.71,171.0,Hillside,Improved (WH507),Partial,Inorganic (NPK),65.2,No,Rice,High,Adequate,Yes,No,12.0,Sandy Loam,5.96,2.36,59.6,21.7,267.1,24.7,111.3,81.8,5.8,10.5,110.2,19.24
2024,Season B,June,Mayange,Maize,1.65,1.54,154.0,Flat,Local Variety,No,None,0.0,Yes,Fallow,Medium,Adequate,No,Yes,10.1,Sandy Loam,5.99,2.84,67.1,9.8,198.8,22.5,30.3,75.4,8.5,11.4,126.0,11.4
2021,Season A,December,Ruhuha,Beans,0.78,0.78,78.0,Flat,Improved (RWR 2245),No,None,0.0,No,Maize,Low,Limited,No,No,19.9,Sandy Loam,7.07,2.32,54.8,14.4,184.0,23.4,51.2,71.8,7.5,10.4,93.9,10.32
2022,Season A,December,Mayange,Beans,0.68,0.5,50.0,Hillside,Hybrid (MAC 44),No,None,0.0,Yes,Beans,Medium,Adequate,No,Yes,8.8,Sandy Loam,5.99,2.99,70.3,10.8,212.7,22.5,52.6,73.4,9.6,10.6,94.4,8.41
2020,Season A,December,Juru,Maize,0.33,0.21,21.0,Flat,Improved (WH507),Partial,Inorganic (NPK),13.8,No,Maize,Low,Adequate,Yes,Yes,17.2,Sandy Loam,6.79,2.74,48.2,24.8,172.3,22.6,64.4,70.5,7.2,10.7,99.5,18.05
2021,Season A,January,Juru,Beans,1.1,0.79,79.0,Flat,Hybrid (MAC 44),Partial,Organic (Compost),57.2,Partial,Maize,High,Adequate,Yes,No,17.8,Sandy Loam,7.01,2.55,48.0,23.6,181.6,23.2,73.7,68.0,7.7,11.4,110.1,9.42
2022,Season B,May,Rilima,Rice,2.83,2.63,263.0,Hillside,Improved (IR64 / NERICA),No,None,0.0,No,Beans,High,Adequate,Yes,No,18.3,Sandy Soil,6.05,1.58,42.4,14.3,224.9,23.4,102.5,68.6,6.3,10.6,111.0,27.46
2022,Season A,November,Mayange,Beans,0.69,0.65,65.0,Flat,Local Variety,Yes,Mixed (Organic + Inorganic),152.6,Yes,Rice,Medium,Adequate,No,No,8.9,Sandy Loam,6.0,2.91,71.0,11.2,198.1,23.8,87.0,68.9,7.6,10.1,104.9,7.76
2023,Season B,February,Gashora,Beans,2.07,1.83,183.0,Hillside,Hybrid (MAC 44),Yes,Inorganic (NPK),212.7,No,Maize,Low,Adequate,Yes,No,10.2,Loam,6.5,2.24,51.1,24.2,183.3,23.0,60.4,71.5,7.1,10.9,120.0,10.39
2021,Season A,September,Mwogo,Maize,0.13,0.09,9.0,Valley,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),62.6,Partial,Fallow,Low,Limited,Yes,No,20.0,Sandy Soil,5.99,2.0,75.7,20.6,165.8,24.4,51.4,75.3,7.1,13.1,128.2,22.31
2022,Season B,May,Mayange,Beans,1.58,1.5,150.0,Flat,Local Variety,Yes,Organic (Compost),0.0,No,Maize,Medium,Limited,No,Yes,16.4,Sandy Loam,5.97,2.81,65.0,12.5,223.6,22.2,53.9,76.1,6.9,11.5,109.9,5.91
2024,Season B,March,Nyamata,Rice,2.62,1.83,183.0,Valley,Hybrid (Komboka),No,None,0.0,No,Beans,High,Sufficient,Yes,No,7.1,Clay Soil,7.15,3.18,74.6,24.0,262.9,21.7,109.7,77.7,7.1,12.5,98.4,21.09
2020,Season B,April,Shyara,Maize,1.63,1.33,133.0,Flat,Improved (WH507),No,None,0.0,Yes,Beans,Low,Sufficient,Yes,No,15.5,Sandy Loam,6.13,2.04,59.0,22.9,269.4,24.9,134.0,77.7,7.3,8.8,96.3,19.07
2022,Season A,November,Mwogo,Maize,2.6,1.73,173.0,Hillside,Local Variety,No,None,0.0,Partial,Cassava,Low,Sufficient,Yes,Yes,19.4,Sandy Soil,6.01,1.99,67.6,21.1,171.2,21.5,76.7,76.2,6.8,9.4,104.5,13.5
2022,Season A,October,Mwogo,Beans,0.16,0.11,11.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Fallow,Medium,Limited,Yes,No,13.6,Sandy Soil,6.08,2.03,74.2,23.5,153.2,24.1,123.5,81.7,6.4,9.3,115.0,8.05
2023,Season B,June,Musenyi,Beans,1.39,1.08,108.0,Flat,Improved (RWR 2245),Yes,Organic (Compost),0.0,No,Maize,Medium,Adequate,Yes,No,18.7,Loam,7.04,2.46,42.6,13.1,260.7,21.7,42.7,63.9,8.8,11.3,109.5,9.78
2024,Season B,February,Mwogo,Maize,0.78,0.58,58.0,Valley,Local Variety,No,None,0.0,No,Beans,Low,Sufficient,Yes,Yes,18.7,Sandy Soil,6.0,2.25,73.0,21.9,164.6,24.6,100.3,77.3,8.0,11.4,99.0,14.16
2020,Season A,January,Shyara,Beans,1.88,1.17,117.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),204.6,No,Beans,Medium,Sufficient,No,No,9.6,Sandy Loam,6.07,2.26,55.3,22.7,254.6,23.1,49.8,79.6,8.1,10.5,115.0,12.29
2020,Season A,November,Mayange,Beans,1.29,0.86,86.0,Flat,Improved (RWR 2245),No,None,0.0,Partial,Beans,Medium,Adequate,No,No,24.6,Sandy Loam,6.01,3.15,69.1,12.8,211.3,22.0,66.5,85.5,7.8,11.0,101.8,12.39
2023,Season B,June,Nyarugenge,Beans,1.14,1.07,107.0,Hillside,Improved (RWR 2245),Partial,Organic (Compost),59.6,Partial,Beans,Low,Adequate,Yes,Yes,17.8,Clay Soil,6.18,2.2,38.0,23.8,210.8,23.0,46.9,69.2,8.6,13.0,113.0,10.65
2020,Season A,November,Musenyi,Beans,2.8,2.27,227.0,Hillside,Local Variety,No,None,0.0,No,Fallow,Medium,Adequate,Yes,No,13.4,Loam,7.12,2.47,39.5,16.8,256.0,22.3,111.5,82.2,7.3,10.9,99.7,6.85
2022,Season B,May,Rweru,Rice,0.46,0.42,42.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,Yes,Maize,High,Sufficient,Yes,No,23.2,Clay Soil,7.06,2.89,66.4,13.9,193.3,25.5,47.2,79.0,6.8,10.9,119.3,24.75
2021,Season A,November,Ntarama,Maize,0.37,0.27,27.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Beans,High,Sufficient,No,No,21.7,Sandy Soil,7.17,2.87,62.1,10.2,246.7,23.3,118.2,73.1,6.4,12.3,116.1,13.7
2024,Season A,December,Kamabuye,Maize,2.87,2.6,260.0,Hillside,Local Variety,Yes,Inorganic (NPK),150.0,Partial,Beans,High,Adequate,Yes,No,21.9,Clay Soil,7.09,2.41,43.3,17.2,203.0,23.8,75.2,75.3,7.6,10.7,92.7,13.96
2020,Season B,June,Ntarama,Rice,2.07,2.05,205.0,Hillside,Hybrid (Komboka),Partial,Organic (Compost),23.1,No,Maize,Medium,Adequate,Yes,Yes,23.6,Sandy Soil,6.99,3.18,67.1,7.4,262.1,21.6,25.0,66.1,9.1,10.9,125.7,18.55
2020,Season A,November,Shyara,Rice,2.01,1.7,170.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Maize,Low,Adequate,No,Yes,13.1,Sandy Loam,6.25,2.26,54.6,20.5,273.0,22.7,63.4,72.7,6.9,9.5,117.5,28.21
2020,Season B,February,Nyarugenge,Maize,0.54,0.46,46.0,Flat,Local Variety,Yes,Inorganic (NPK),154.6,Yes,Beans,Low,Adequate,Yes,No,16.3,Clay Soil,6.24,2.69,39.6,21.3,195.9,24.9,80.9,69.3,7.4,11.6,102.0,17.39
